Word,Part of Speech,CEFR Level
activist,n.,C1
activity,n.,A1
actor,n.,A1
actress,n.,A1
actual,adj.,B2
actually,adv.,A2
acute,adj.,C1
ad,n.,B1
adapt,v.,B2
adaptable,adjective,B2
adaptation,n.,C1
add,v.,A1
addict,noun,B2
addicted,adjective,B2
addiction,n.,B2
addition,n.,B1
additional,adj.,B2
additionally,adv.,B2
address,verb,B1
addressee,noun,B1
adequate,adj.,B2
adequately,adv.,B2
adhere,v.,C1
adjacent,adj.,C1
adjective,noun,A2
adjust,v.,B2
adjustment,n.,C1
administer,v.,C1
administration,n.,B1
administrative,adj.,C1
administrator,n.,C1
admirable,adjective,B2
admiration,noun,B1
admire,v.,B1
admiringly,adverb,B2
admission,n.,C1
admit,v.,B1
admittedly,adverb,B2
adolescent,n.,C1
adopt,v.,B2
adopted,adjective,B2
adoption,n.,C1
adorable,adjective,B1
adore,verb,B2
adorn,verb,B2
adult,noun,A2
advance,verb,B1
advanced,adj.,B1
advancement,noun,B2
advantage,n.,A2
advent,noun,B2
adventure,n.,A2
adventurous,adjective,B2
adverb,noun,B1
adverbial,adjective,B1
adverse,adj.,C1
adversely,adverb,B2
adversity,noun,B2
advert,noun,B1
advertise,v.,A2
advertisement,n.,A2
advertising,n.,A2
advice,n.,A1
advise,v.,B1
adviser/advisor,noun,B1
aerobics,noun,B1
aesthetic,adj.,C1
affair,n.,B2
affect,v.,A2
affection,n.,C1
affectionate,adjective,B2
affectionately,adverb,B2
afford,v.,B1
affordable,adj.,B2
afraid,adj.,A1
after,preposition,A1
aftermath,n.,C1
afternoon,n.,A1
afterward,adv.,B2
afterwards,adv.,B2
again,adv.,A1
against,preposition,A2
age,noun,A1
aged,adj.,B1
ageless,adjective,B2
agency,n.,B2
agenda,n.,B2
agent,n.,B1
aggression,n.,C1
aggressive,adj.,B2
aggressively,adverb,B2
ago,adv.,A1
agonize/agonise,verb,B2
agony,noun,B2
agree,v.,A1
agreement,n.,B1
agricultural,adj.,C1
agriculture,n.,B2
ahead,adv.,B1
aid,verb,B1
aide,n.,C1
aim,verb,B2
air,n.,A1
air conditioning,noun,B1
air force,noun,B1
aircraft,n.,B2
aircrew,noun,B2
airline,n.,A2
airplane/aeroplane,noun,A1
airport,n.,A1
aisle,noun,A2
alarm,verb,B1
alarm clock,noun,A2
album,n.,B1
alcohol,n.,B1
alcoholic,adj.,B1
alcoholism,noun,B2
alert,verb,B2
align,v.,C1
alignment,n.,C1
alike,adverb,B1
alive,adj.,A2
all,pronoun,A1
all right,adverb,A1
allegation,n.,C1
allege,v.,C1
allegedly,adv.,C1
allergic,adjective,B1
alliance,n.,C1
allocate,v.,C1
allocation,n.,C1
allow,v.,A2
allowance,n.,C1
ally,n.,C1
almost,adv.,A2
alone,adverb,A1
along,preposition,A2
alongside,preposition,B2
aloud,adverb,B1
alphabet,noun,B1
alphabetical,adjective,B2
already,adv.,A2
alright,adverb,A2
also,adv.,A1
altar,noun,B2
alter,v.,B2
alternate,verb,B2
alternative,noun,B1
alternatively,adverb,B2
although,conjunction,A2
altitude,noun,B2
altogether,adv.,B2
aluminium,n.,C1
aluminum/aluminium,noun,B2
always,adv.,A1
am,be-verb,A1
amaze,verb,B2
amazed,adj.,B1
amazement,noun,B2
amazing,adj.,A1
amazingly,adverb,B2
ambassador,n.,C1
ambiguity,noun,B2
ambiguous,adjective,B2
ambition,n.,B1
ambitious,adj.,B1
ambulance,n.,B2
amend,v.,C1
amendment,n.,C1
ammonia,noun,B2
among,preposition,A2
amongst,preposition,B2
amount,noun,B1
ample,adjective,B2
amplifier,noun,B2
amplify,verb,B2
amuse,verb,B2
amused,adjective,A2
amusement,noun,A2
amusing,adj.,B2
an,determiner,A1
analogy,n.,C1
analyse,v.,B1
analysis,n.,B1
analyst,n.,B2
analyze,v.,A2
analyze/analyse,verb,B1
ancestor,n.,B2
anchor,n.,C1
anchorage,noun,B2
anchorman,noun,B2
anchorperson,noun,B2
ancient,adj.,A2
and,conjunction,A1
angel,n.,C1
anger,n.,B2
angle,n.,B2
angrily,adverb,A2
angry,adj.,A1
anguish,noun,B2
animal,n.,A1
animate,verb,B2
animated,adjective,B1
animation,n.,B2
ankle,n.,A2
anniversary,n.,B2
announce,v.,B1
announcement,n.,B1
annoy,v.,B1
annoyance,noun,B1
annoyed,adj.,B1
annoying,adj.,B1
annual,adj.,B2
annually,adv.,B2
anonymous,adj.,C1
another,pronoun,A2
answer,verb,A1
ant,noun,B1
anti,adjective,B1
antiaircraft,adjective,B2
antibacterial,adjective,B2
anticancer,noun,B2
anticipate,v.,B2
anticipation,noun,B2
antipollution,noun,B2
antique,noun,B1
antistatic,adjective,B2
antivirus,noun,B2
antonym,noun,B1
anxiety,n.,B2
anxious,adj.,B2
anxiously,adverb,B1
any,pronoun,A1
anybody,pronoun,A1
anyhow,adverb,B1
anymore,adv.,A2
anyone,pronoun,A1
anything,pronoun,A1
anyway,adv.,A2
anywhere,adverb,A2
apart,adv.,B1
apartment,n.,A1
ape,noun,B1
apologize,v.,B1
apologize/apologise,verb,A2
apology,n.,B2
apostrophe,noun,B2
app,n.,A2
apparatus,n.,C1
apparent,adj.,B2
apparently,adv.,B2
appeal,verb,B2
appealing,adj.,C1
appear,v.,A2
appearance,n.,A2
appetite,n.,C1
applaud,v.,C1
applause,noun,B1
apple,n.,A1
applicable,adj.,C1
applicant,n.,B2
application,n.,B1
apply,v.,A2
appoint,v.,C1
appointment,n.,B1
appreciate,v.,B1
appreciation,n.,C1
appreciative,adjective,B2
approach,verb,B2
appropriate,adj.,B2
appropriately,adv.,B2
approval,n.,B2
approve,v.,B2
approximate,adjective,B2
approximately,adv.,B1
apron,noun,A1
arbitrary,adj.,C1
arch,noun,B2
archaeologist/archeologist,noun,B2
architect,n.,A2
architectural,adj.,C1
architecture,n.,A2
archive,n.,C1
arctic,adjective,B2
are,be-verb,A1
area,n.,A1
arena,n.,C1
arguably,adv.,C1
argue,v.,A2
argument,n.,A2
arise,v.,B2
aristocracy,noun,B2
arithmetic,noun,B1
arm,v.,C1
armchair,noun,A2
armed,adj.,B2
armful,noun,B2
arms,n.,B2
army,n.,A2
around,preposition,A1
arouse,verb,B2
arrange,v.,A2
arrangement,n.,A2
array,n.,C1
arrest,verb,B1
arrival,n.,B1
arrive,v.,A1
arrogant,adjective,B2
arrow,n.,B2
art,n.,A1
artery,noun,B2
article,n.,A1
articulate,v.,C1
artificial,adj.,B2
artificially,adverb,B2
artist,n.,A1
artistic,adj.,B2
artistry,noun,B2
artwork,n.,B2
as,preposition,A1
ash,n.,C1
ashamed,adj.,B2
aside,adv.,B2
ask,v.,A1
asleep,adj.,A2
aspect,n.,B2
aspiration,n.,C1
aspire,v.,C1
aspirin,noun,B1
assassination,n.,C1
assault,noun,B2
assemble,v.,C1
assembly,n.,C1
assert,v.,C1
assertion,n.,C1
assess,v.,B2
assessment,n.,B2
asset,n.,B2
assign,v.,B2
assignment,n.,B1
assist,v.,B1
assistance,n.,B2
assistant,noun,B1
associate,v.,B2
associated,adj.,B2
association,n.,B2
assume,v.,B2
assumption,n.,B2
assurance,n.,C1
assure,v.,B2
astonish,verb,B2
astonished,adjective,B2
astonishing,adj.,B2
astonishment,noun,B2
astronaut,noun,A2
astronomer,noun,B1
astronomy,noun,B2
asylum,n.,C1
at,preposition,A1
athlete,n.,A2
athletic,adjective,B1
athletics,noun,B2
atmosphere,n.,B1
atom,noun,A2
atomic,adjective,B1
atrocity,n.,C1
attach,v.,B1
attached,adjective,B2
attachment,n.,B2
attack,verb,A2
attain,v.,C1
attainable,adjective,B2
attainment,noun,B2
attempt,verb,B1
attend,v.,A2
attendance,n.,C1
attention,n.,A2
attentive,adjective,B2
attentively,adverb,B2
attitude,n.,B1
attorney,n.,C1
attract,v.,B1
attraction,n.,B1
attractive,adj.,A2
attractiveness,noun,B2
attribute,verb,B2
atypical,adjective,B2
aubergine,noun,B2
auction,n.,B2
audience,n.,A2
audio,adj.,B2
audit,n.,C1
audition,noun,B2
aunt,n.,A1
authentic,adj.,C1
author,n.,A2
authoritative,adjective,B2
authority,n.,B1
authorize,v.,C1
authorize/authorise,verb,B2
auto,n.,C1
automatic,adj.,B2
automatically,adv.,B2
autonomy,n.,C1
autumn,n.,A1
auxiliary,adjective,B1
availability,n.,C1
available,adj.,A2
avenue,noun,B1
average,noun,A2
avoid,v.,A2
await,v.,C1
awake,adjective,A1
award,verb,B1
aware,adj.,B1
awareness,n.,B2
away,adv.,A1
awe,noun,B2
awesome,adj.,A1
awful,adj.,A2
awkward,adj.,B2
ax/axe,noun,B2
axis,noun,B2
baby,n.,A1
babysit,verb,B1
babysitter,noun,B1
back,verb,B1
backache,noun,B1
backdrop,n.,C1
background,n.,A2
backing,n.,C1
backpack,noun,B1
backpacker,noun,B1
backpacking,noun,B1
backup,n.,C1
backward,adv.,B1
backward/backwards,adverb,B2
backwards,adv.,B1
backyard,noun,B2
bacon,noun,B1
bacteria,n.,B2
bad,adj.,A1
bad-tempered,adjective,B2
badge,n.,B2
badly,adv.,A2
badminton,noun,A2
bag,n.,A1
baggage,noun,B1
bail,n.,C1
bake,v.,B1
baker,noun,B1
bakery,noun,B1
balance,verb,B2
balanced,adj.,B2
balcony,noun,A2
bald,adjective,B1
balky,adjective,B2
ball,n.,A1
ballad,noun,B2
ballet,n.,B2
balloon,n.,B2
ballot,n.,C1
ban,verb,B2
banana,n.,A1
band,n.,A1
bandage,noun,B1
bang,verb,B1
bank,verb,A2
bank account,noun,B1
banker,noun,B2
banking,noun,A2
bankrupt,verb,B2
bankruptcy,noun,B2
banner,n.,C1
bar,verb,B1
barbecue,verb,B1
barber,noun,A2
barbershop,noun,B2
bare,adj.,C1
barely,adv.,B2
bargain,n.,B2
bark,verb,B2
barley,noun,B2
barman,noun,B1
barn,noun,B2
barometer,noun,B2
barrel,n.,C1
barren,adjective,B2
barrier,n.,B2
bartender,noun,B2
base,verb,B1
baseball,n.,A1
based,adj.,A2
basement,n.,B2
basic,adj.,B1
basically,adv.,B2
basin,noun,B1
basis,n.,B1
basket,n.,B2
basketball,n.,A1
bass1,n.,C1
bat,verb,B1
batch,noun,A2
bath,n.,A1
bathe,verb,B1
bathhouse,noun,B2
bathroom,n.,A1
battery,n.,B1
battle,noun,B1
battlefield,n.,C1
bay,n.,C1
be,be-verb,A1
beach,n.,A1
beagle,noun,B2
beak,noun,B2
beam,n.,C1
bean,n.,A2
bear,verb,A2
beard,noun,B1
bearing,noun,B2
beast,n.,C1
beat,verb,B1
beautiful,adj.,A1
beautifully,adverb,B1
beautify,verb,B2
beauty,n.,B1
beaver,noun,B1
because,conjunction,A1
because of,preposition,B1
become,v.,A1
bed,n.,A1
bedroom,n.,A1
bedside,noun,B1
bee,n.,B1
beef,n.,A2
been,be-verb,A2
beer,n.,A1
before,preposition,A1
beg,v.,B2
begin,v.,A1
beginner,noun,A2
beginning,n.,A1
behalf,n.,C1
behave,v.,A2
behavior,n.,A2
behavior/behaviour,noun,A2
behaviour,n.,A2
behind,preposition,A1
being,n.,B2
belief,n.,B1
believe,v.,A1
bell,n.,B1
bellow,verb,B2
belly,noun,A2
belong,v.,A2
belongings,noun,B2
beloved,adj.,C1
below,preposition,A1
belt,n.,A2
bench,n.,C1
benchmark,n.,C1
bend,verb,A2
beneath,preposition,B1
beneficial,adj.,B2
beneficiary,n.,C1
benefit,verb,B2
benevolence,noun,B2
benevolent,adjective,B2
bent,adj.,B2
berry,noun,B2
beside,preposition,A1
besides,preposition,B1
best,adverb,A1
bestow,verb,B2
bestseller,noun,B2
bet,verb,B1
betray,v.,C1
better,adverb,A2
between,preposition,A1
bewilder,verb,B2
bewilderment,noun,B2
beyond,preposition,A2
bias,n.,B2
bicycle,n.,A1
bid,verb,B2
bidding,noun,B2
big,adj.,A1
bike,n.,A1
bikini,noun,B2
bilingual,adjective,B1
bill,verb,B1
billion,noun,B2
bin,n.,A2
bind,v.,C1
bio,noun,B2
biochemistry,noun,B1
biography,n.,C1
biological,adj.,B2
biology,n.,A2
biotechnology,noun,B2
bird,n.,A1
birdcage,noun,B2
birth,n.,A2
birthday,n.,A1
birthplace,noun,B2
biscuit,n.,A2
bishop,n.,C1
bit,n.,A2
bite,verb,B1
bitter,adj.,B2
bitterly,adverb,B2
bizarre,adj.,C1
black,noun,A1
blackboard,noun,A2
blade,n.,C1
blame,verb,A2
blank,adjective,A1
blanket,n.,B2
blast,verb,B2
blaze,verb,B2
bleed,v.,C1
blend,verb,B1
bless,v.,C1
blessing,n.,C1
blind,adj.,B2
blindly,adverb,B2
blindness,noun,B2
blink,verb,B2
block,verb,B1
blog,n.,A1
blogger,noun,B1
blond,adj.,A1
blonde,adj.,A1
blood,n.,A2
bloodstream,noun,B2
bloody,adverb,B2
bloom,noun,A2
blooming,adjective,B2
blossom,noun,B2
blow,n.,B2
blue,noun,A1
blur,verb,B2
blurt,noun,B2
blush,verb,B2
board,verb,B1
board game,noun,A2
boast,v.,C1
boat,n.,A1
body,n.,A1
boil,v.,A2
boiled,adjective,A2
boiling,adjective,B2
bold,adj.,B2
boldly,adverb,B1
bolt,verb,B2
bomb,verb,B1
bombard,noun,B2
bomber,noun,B2
bombing,n.,B2
bond,n.,B2
bone,n.,A2
bonus,n.,C1
bony,adjective,B2
book,verb,B1
bookcase,noun,A2
booking,n.,B2
bookish,adjective,B2
booklet,noun,B2
bookmark,verb,B2
bookshelf,noun,A2
bookshop,noun,A2
bookstore,noun,A1
boom,n.,C1
boost,verb,B2
boot,n.,A1
booth,noun,B2
border,noun,B1
bore,verb,B1
bored,adj.,A1
boredom,noun,B1
boring,adj.,A1
born,v.,A1
borrow,v.,A2
boss,n.,A2
bossy,adjective,B2
botany,noun,B2
both,pronoun,A1
bother,v.,B1
bothered,adjective,B2
bothersome,adjective,B2
bottle,n.,A1
bottom,noun,A1
bounce,v.,C1
bound,adj.,B2
boundary,n.,C1
bourbon,noun,B2
bow,verb,B2
bowl,n.,A2
box,n.,A1
boxer,noun,B2
boxing,noun,B1
boy,n.,A1
boyfriend,n.,A1
bra,noun,A2
bracelet,noun,B1
bracket,noun,B2
brag,noun,B2
brain,n.,A2
brainstorm,noun,A2
brainstorming,noun,B1
brake,verb,B2
branch,n.,B1
brand,noun,A2
brand-new,adjective,B1
brass,noun,B1
brave,adj.,B1
bravely,adverb,B1
bravery,noun,B2
bread,n.,A1
break,verb,A1
breakable,adjective,B2
breakdown,n.,C1
breakfast,n.,A1
breakthrough,n.,C1
breakup,noun,B2
breast,n.,B2
breath,n.,B1
breathe,v.,B1
breathing,n.,B1
breathless,adjective,B1
breathtaking,adjective,B2
breed,verb,B1
breeding,noun,B1
breeze,noun,A2
breezy,adjective,B2
brewery,noun,B2
brick,n.,B2
bride,n.,B1
bridge,n.,A2
brief,adj.,B2
briefly,adv.,B2
bright,adj.,A2
brightly,adverb,B1
brilliant,adj.,A2
brilliantly,adverb,B2
bring,v.,A1
broad,adj.,B2
broadband,n.,C1
broadcast,verb,B2
broadcaster,n.,B2
broaden,verb,B2
broadly,adv.,B2
broccoli,noun,B1
brochure,noun,B2
broken,adj.,A2
bronze,noun,B1
brother,n.,A1
brother-in-law,noun,B2
brotherhood,noun,B1
brown,noun,A2
browse,verb,B2
browser,n.,C1
bruise,noun,B2
brush,verb,A1
brutal,adj.,C1
bubble,n.,B1
buck,n.,C1
bucket,noun,A1
bud,noun,B2
buddy,n.,C1
budget,n.,B2
buffer,n.,C1
bug,n.,B2
build,v.,A1
builder,noun,B1
building,n.,A1
bulb,noun,A2
bulimia,noun,B2
bulk,n.,C1
bull,noun,B1
bullet,n.,B2
bulletin,noun,B1
bully,verb,B2
bum,noun,B2
bump,verb,B1
bumper,noun,B2
bun,noun,B2
bunch,n.,B2
burden,n.,C1
burdensome,adjective,B2
bureau,noun,B1
bureaucracy,n.,C1
burger,noun,A1
burglar,noun,B1
burglary,noun,B2
burgle,verb,B2
burial,n.,C1
burn,verb,B1
burning,adjective,B1
burst,v.,C1
bury,v.,B1
bus,n.,A1
bus station,noun,A2
bus stop,noun,A2
bush,n.,B2
business,n.,A1
businessman,n.,A2
businesswoman,noun,A2
bust,verb,B1
bustle,verb,B2
bustling,adjective,B2
busy,adj.,A1
but,preposition,B1
butcher,verb,B2
butter,n.,A1
butterfly,noun,A1
button,n.,A2
buy,v.,A1
buyer,noun,B1
buzz,verb,B2
by,preposition,A1
bye,noun,A1
cab,noun,A2
cabbage,noun,B1
cabin,n.,B2
cabinet,n.,C1
cable,n.,B1
cafe,n.,A1
cafe/caf?,noun,A1
cafeteria,noun,A2
cage,noun,B1
cake,n.,A1
calculate,v.,B2
calculation,n.,C1
calculator,noun,B1
calendar,noun,A2
calf,noun,B1
call,verb,A2
caller,noun,B1
calm,adjective,B1
calmly,adverb,B2
calmness,noun,B1
camel,noun,B1
camera,n.,A1
camp,verb,A2
campaign,noun,B2
camping,n.,A2
campsite,noun,B1
campus,n.,A2
can,noun,A2
can2,n.,A2
canal,n.,B2
cancel,v.,B2
cancer,n.,B2
candidate,n.,B1
candle,n.,B2
candy,n.,A2
cane,noun,B2
canned,adjective,B1
cannonball,noun,B2
cannot,v.,A1
canon,noun,B2
canteen,noun,B1
canvas,n.,C1
cap,n.,B1
capability,n.,C1
capable,adj.,B2
capacity,n.,B2
capital,noun,A2
capital letter,noun,A2
capitalism,n.,C1
capitalist,adj.,C1
capsule,noun,B1
captain,n.,B1
caption,noun,B2
captive,noun,B2
capture,verb,B1
car,n.,A1
car park,noun,A2
caravan,noun,B2
carbon,n.,B2
carbon dioxide,noun,B2
carbon footprint,noun,B2
carbon monoxide,noun,B2
card,n.,A1
cardboard,noun,B2
cardigan,noun,B2
care,verb,B1
career,n.,A1
carefree,adjective,B2
careful,adj.,A2
carefully,adv.,A2
careless,adj.,B1
carelessly,adverb,B1
carelessness,noun,B1
cargo,n.,C1
caring,adjective,B2
carnival,noun,B2
carpet,n.,A2
carpool,noun,B2
carriage,n.,C1
carrot,n.,A1
carry,v.,A1
carton,noun,B1
cartoon,n.,A2
carve,v.,C1
cascade,noun,B2
case,n.,A2
cash,n.,A2
cashpoint,noun,B1
casino,n.,C1
cassette,noun,A2
cast,verb,B2
castle,n.,A2
casual,adj.,B2
casually,adverb,B2
casualty,n.,C1
cat,n.,A1
catalog/catalogue,noun,B2
catalogue,n.,C1
catalyst,noun,B2
catastrophe,noun,B2
catastrophic,adjective,B2
catch,verb,A1
catchy,adjective,B2
categorization/categorisation,noun,B2
categorize/categorise,verb,B1
category,n.,B1
cater,v.,C1
catering,noun,B2
cathedral,noun,B2
cattle,n.,C1
cause,verb,A2
caution,n.,C1
cautious,adj.,C1
cave,n.,B2
cease,v.,C1
ceiling,n.,B1
celebrate,v.,A2
celebration,n.,B1
celebrity,n.,A2
cell,n.,A2
cellar,noun,B2
cellist,noun,B2
cello,noun,B2
cemetery,n.,C1
cent,n.,A1
center/centre,noun,A2
centigrade,noun,B2
centimeter/centimetre,noun,A2
central,adj.,B1
central heating,noun,B1
century,n.,A2
cereal,noun,A2
ceremony,n.,B1
certain,adj.,A2
certainly,adv.,A2
certainty,n.,B2
certificate,n.,B2
certification,noun,B2
certify,verb,B2
chain,noun,A2
chair,noun,A1
chairman,n.,B2
challenge,verb,B2
challenging,adj.,B2
chamber,n.,C1
champagne,noun,A2
champion,n.,B1
championship,n.,B2
chance,n.,A2
chancellor,noun,B2
change,verb,A1
channel,n.,B1
chaos,n.,C1
chaotic,adjective,B2
chapter,n.,B1
character,n.,A2
characteristic,noun,B1
characterize,v.,C1
characterize/characterise,verb,B1
charge,verb,B1
chariot,noun,B1
charity,n.,A2
charm,n.,C1
charming,adj.,B2
chart,noun,A2
charter,n.,C1
chase,verb,B2
chat,verb,A2
chat show,noun,B1
cheap,adjective,A2
cheat,verb,B2
check,verb,A2
check-in counter/check-in,noun,B1
check-in desk/check-in,noun,B1
checkout,noun,B1
checkpoint,noun,B2
cheek,n.,B2
cheeky,adjective,B2
cheer,verb,A2
cheerful,adj.,B1
cheerfully,adverb,B2
cheerfulness,noun,B2
cheese,n.,A1
chef,n.,A2
chemical,noun,B1
chemist,noun,B1
chemistry,n.,A2
chemotherapy,noun,B2
cheque,noun,A2
cherish,verb,B1
cherished,adjective,B2
cherry,noun,B2
chess,noun,A2
chest,n.,B1
chest of drawers,noun,B1
chew,verb,B2
chewing gum,noun,B1
chicken,n.,A1
chief,noun,B2
child,n.,A1
childhood,n.,B1
childish,adjective,B2
chili/chilli,noun,A2
chimney,noun,B2
chimpanzee,noun,A2
chin,noun,A2
chip,n.,A2
chirp,noun,A2
chocolate,n.,A1
choice,n.,A2
choir,n.,B2
choke,verb,B1
choose,v.,A1
chop,v.,B2
chronic,adj.,C1
chronological,adjective,B1
chuckle,noun,B1
chunk,n.,C1
church,n.,A2
cigarette,n.,A2
cinema,n.,A1
circle,verb,B1
circuit,n.,B2
circuitry,noun,B2
circular,adjective,B1
circulate,v.,C1
circulation,n.,C1
circumstance,n.,B2
circus,noun,B1
cite,v.,B2
citizen,n.,B2
citizenship,n.,C1
city,n.,A1
citywide,adjective,B2
civic,adj.,C1
civil,adj.,B2
civilization,n.,B2
civilization/civilisation,noun,B1
claim,verb,A2
clam,noun,B2
clap,verb,B2
clarify,v.,B2
clarity,n.,C1
clash,n.,C1
class,n.,A1
classic,noun,B2
classical,adj.,A2
classical music,noun,A2
classification,n.,C1
classify,v.,B2
classmate,noun,A1
classroom,n.,A1
clause,n.,B1
clean,verb,A1
cleaner,noun,A2
clear,verb,B1
clearly,adv.,A2
clearness,noun,B2
clerical,adjective,B2
clerk,n.,B2
clever,adj.,B1
click,verb,A2
client,n.,B1
cliff,n.,B2
climate,n.,A2
climate change,noun,B2
climb,verb,A2
climber,noun,B1
climbing,noun,A2
cling,v.,C1
clinic,n.,B2
clinical,adj.,C1
clip,n.,B2
clock,n.,A1
clog,verb,B2
clone,verb,A2
close,verb,A1
closed,adj.,A2
closely,adv.,B2
closet,n.,A2
closure,n.,C1
cloth,n.,B1
clothes,n.,A1
clothing,n.,A2
cloud,n.,A2
cloudy,adjective,A1
clown,noun,A2
club,n.,A1
clue,n.,B1
clumsy,adjective,B2
cluster,n.,C1
coach,verb,B2
coaching,noun,B2
coal,n.,B1
coalition,n.,C1
coarse,adjective,B2
coast,n.,A2
coastal,adj.,C1
coastline,noun,B2
coat,n.,A1
cocktail,n.,C1
cocoa,noun,B2
coconut,noun,B2
cod,noun,B1
code,n.,A2
coffee,n.,A1
coffin,noun,B1
cognitive,adj.,C1
coherence,noun,B2
coherent,adjective,B2
coin,n.,B1
coincide,v.,C1
coincidence,n.,B2
coke,noun,A1
cola,noun,A2
cold,noun,A1
collaborate,v.,C1
collaboration,n.,C1
collapse,verb,B2
collar,noun,B1
colleague,n.,A2
collect,v.,A2
collection,n.,B1
collective,adj.,C1
collector,n.,B2
college,n.,A1
collision,n.,C1
collocation,noun,B2
colon,noun,B2
colonial,adj.,C1
colony,n.,B2
color,n.,A1
color/colour,verb,A1
colored,adj.,B1
colorful/colourful,adjective,A2
colour,n.,A1
coloured,adj.,B1
colourful,adj.,B2
column,n.,A2
columnist,n.,C1
coma,noun,B2
comb,verb,B2
combination,n.,B2
combine,v.,B1
come,v.,A1
comedian,noun,B1
comedy,n.,A2
comet,noun,B1
comfort,noun,B1
comfortable,adj.,A2
comfortably,adverb,B2
comic,noun,A2
comma,noun,B1
command,noun,B1
commander,n.,B2
commemorate,verb,B2
commence,v.,C1
comment,verb,B2
commentary,n.,C1
commentator,n.,C1
commerce,n.,C1
commercial,noun,B2
commission,noun,B2
commissioner,n.,C1
commit,v.,B1
commitment,n.,B2
committee,n.,B2
commodity,n.,C1
common,adj.,A1
common sense,noun,B1
commonly,adv.,B2
commonwealth,noun,B2
communicate,v.,A2
communication,n.,B1
communicative,adjective,B2
communist,adj.,C1
community,n.,A2
commute,verb,B2
companion,n.,C1
company,n.,A1
comparable,adj.,C1
comparative,adj.,B2
compare,v.,A1
comparison,n.,B1
compassion,n.,C1
compassionate,adjective,B2
compatible,adjective,B2
compel,v.,C1
compelling,adj.,C1
compensate,v.,C1
compensation,n.,C1
compete,v.,A2
competence,n.,C1
competent,adj.,C1
competition,n.,A2
competitive,adj.,B1
competitor,n.,B1
compile,v.,C1
complain,v.,A2
complaint,n.,B1
complement,v.,C1
complete,verb,B1
completely,adv.,A2
completion,n.,B2
complex,adjective,B1
complexion,noun,B2
complexity,n.,C1
compliance,n.,C1
complicate,verb,B1
complicated,adj.,B2
complication,n.,C1
compliment,noun,B1
comply,v.,C1
component,n.,B2
compose,v.,B2
composer,n.,B2
composition,n.,C1
compound,n.,B2
comprehension,noun,B2
comprehensive,adj.,B2
compress,noun,B2
compression,noun,B2
comprise,v.,B2
compromise,verb,B2
compulsory,adj.,B2
compute,v.,C1
